NAME                         INSTALLED              FIXED IN                    TYPE    VULNERABILITY   SEVERITY    EPSS           RISK   
tar                          2:1.34-11.el9          (won't fix)                 rpm     CVE-2005-2541   Medium      3.8% (88th)    2.3    
gdb-gdbserver                16.3-3.el9                                         rpm     CVE-2025-1151   Low         < 0.1% (15th)  < 0.1  
python                       3.12.13                                            binary  CVE-2026-4786   High        < 0.1% (6th)   < 0.1  
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2022-3352   Low         < 0.1% (8th)   < 0.1  
gnupg2                       2.3.3-5.el9_7                                      rpm     CVE-2025-30258  Low         < 0.1% (16th)  < 0.1  
gdb-gdbserver                16.3-3.el9                                         rpm     CVE-2025-1150   Low         < 0.1% (15th)  < 0.1  
gdb-gdbserver                16.3-3.el9                                         rpm     CVE-2025-1152   Low         < 0.1% (15th)  < 0.1  
curl-minimal                 7.76.1-40.el9                                      rpm     CVE-2026-3784   Medium      < 0.1% (7th)   < 0.1  
libcurl-minimal              7.76.1-40.el9                                      rpm     CVE-2026-3784   Medium      < 0.1% (7th)   < 0.1  
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2023-48236  Low         < 0.1% (12th)  < 0.1  
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2023-48234  Low         < 0.1% (11th)  < 0.1  
gawk                         5.1.0-6.el9                                        rpm     CVE-2023-4156   Low         < 0.1% (9th)   < 0.1  
tar                          2:1.34-11.el9                                      rpm     CVE-2026-5704   Medium      < 0.1% (8th)   < 0.1  
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2023-4735   Low         < 0.1% (8th)   < 0.1  
libarchive                   3.5.3-9.el9_7                                      rpm     CVE-2025-60753  Medium      < 0.1% (7th)   < 0.1  
vim-minimal                  2:8.2.2637-26.el9_8.5                              rpm     CVE-2022-3153   Low         < 0.1% (9th)   < 0.1  
python                       3.12.13                *3.13.10, 3.14.1, 3.15.0a3  binary  CVE-2025-13837  Medium      < 0.1% (9th)   < 0.1  
gdb-gdbserver                16.3-3.el9                                         rpm     CVE-2025-11083  Medium      < 0.1% (7th)   < 0.1  
openssl                      1:3.5.5-3.el9_8        (won't fix)                 rpm     CVE-2026-2673   Medium      < 0.1% (6th)   < 0.1  
openssl-fips-provider        3.0.7-8.el9                                        rpm     CVE-2026-2673   Medium      < 0.1% (6th)   < 0.1  
